index;uKL30V;EPB_L;EPB_R;AIN2_MON_VAC_SUP;AIN3;AIN4;AIN5;
235;15.986001;0.347132;0.274504;0.012891;2.397656;2.436328;0.016113;
236;15.986001;0.340008;0.314673;2.429883;0.006445;0.000000;2.420215;
237;15.986001;0.413624;0.265052;2.433105;0.000000;0.000000;2.400879;
238;15.986001;0.425497;0.243786;0.032227;2.397656;2.404101;0.000000;
239;15.986001;0.387502;0.286318;0.025781;2.413769;2.420215;0.009668;
240;15.986001;0.397001;0.253238;2.433105;0.012891;0.012891;2.413769;
241;15.986001;0.475366;0.291044;2.426660;0.003223;0.000000;2.416992;
242;15.986001;0.375628;0.281593;0.006445;2.397656;2.413769;0.000000;
243;15.986001;0.404125;0.298133;0.016113;2.404101;2.410547;0.000000;
244;15.986001;0.325760;0.241424;2.442773;0.022559;0.000000;2.407324;
245;15.986001;0.323385;0.222521;2.429883;0.009668;0.009668;2.407324;
246;15.986001;0.344757;0.257964;0.012891;2.387988;2.429883;0.016113;
247;15.986001;0.397001;0.380833;0.003223;2.394433;2.416992;0.006445;
248;15.986001;0.363755;0.286318;2.433105;0.009668;0.000000;2.420215;
249;15.986001;0.271141;0.352479;2.452441;0.000000;0.000000;2.407324;
